陪伴服务统计报表
统计区间,2026-05-16,至,2026-06-15
导出时间,2026-06-15 01:23:19

概览指标,数值
总营收(元),155.00
总订单数,11
新增用户数,3
退费相关订单,6

销售分类,订单数,销售额(元)
"陪吃",5,155.00
"陪诊",1,0.00

订单号,下单时间,服务名称,用户,服务人员,订单金额,优惠抵扣,限时折扣,状态
"ORD1781485333209OD51FI","2026-06-15 01:02:13","服务测试","用户测试","服务人员测试",25.00,0.00,25.00,"已完成"
"ORD178098648650414HINH","2026-06-09 06:28:06","【定制】陪吃","用户测试","服务人员2",80.00,20.00,0.00,"待接单"
"ORD1780983562202L1NS6T","2026-06-09 05:39:22","服务2","用户测试","服务人员测试",350.00,0.00,0.00,"已退费"
"ORD1780983316486XA9TNW","2026-06-09 05:35:16","服务测试","用户测试","服务人员测试",25.00,0.00,25.00,"已完成"
"ORD17809248137418HVGPZ","2026-06-08 13:20:13","服务测试","微信","服务人员测试",25.00,0.00,25.00,"已取消"
"ORD1780909277145PVHYLY","2026-06-08 09:01:17","服务测试","微信","服务人员测试",12.50,0.00,12.50,"已取消"
"ORD1780132563011UAA7T0","2026-05-30 09:16:03","【定制】陪聊","用户测试","",100.00,0.00,0.00,"已取消"
"ORD1780132367973I4YL7N","2026-05-30 09:12:47","【组团】组团测试2.0","用户测试","服务人员测试",100.00,0.00,0.00,"已完成"
"ORD1780132362000VCCV4Q","2026-05-30 09:12:42","【组团】组团测试","用户测试","",1000.00,0.00,0.00,"已取消"
"ORD1780131514730NB8YNL","2026-05-30 08:58:34","服务测试","用户测试","服务人员测试",50.00,0.00,0.00,"已完成"
"ORD17801298244134KPGC5","2026-05-30 08:30:24","【定制】陪吃","用户测试","服务人员测试",100.00,0.00,0.00,"已取消"
